FacilityType,FacilityId,Anchor,FoundationType,eqBldgType,DesignLevel,SoilType,LqfSusCat,LndSusCat,WaterDepth,Distance,PGA,PGV,Sa03,Sa10,LqfSettlPGD,LqfSprPGD,LqfProb,LndPGD,LndProb,SufFltRuptPGD,SurfFltRuptProb,PDsNone,PDsSlight,PDsModerate,PDsExtensive,PDsComplete,PDsExceedSlight,PDsExceedModerate,PDsExceedExtensive,FunctDay1,FunctDay3,FunctDay7,FunctDay14,FunctDay30,FunctDay90,EconLoss,Name,City,State,geometry
HighwayBridge,CA006857,null,null,null,null,D,0,0,5.0,null,0.21277272701263428,8.365218162536621,0.5231019258499146,0.23649340867996216,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9788,0.0127,0.0048,0.0029,0.0005,0.0211,0.0084,0.0035,98.9,99.4,99.6,99.6,99.6,99.8,5471.99462890625,'WILBUR AVENUE',null,null,POINT (-121.75195 38.012058)
HighwayBridge,CA006858,null,null,null,null,D,0,0,5.0,null,0.1987956464290619,8.536466598510742,0.5197939872741699,0.25990328192710876,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9807,0.0,0.0111,0.0063,0.0017,0.0192,0.0192,0.008,98.4,98.7,99.1,99.2,99.2,99.6,4851.47900390625,'KELLOGG CREEK',null,null,POINT (-121.618575 37.889322)
HighwayBridge,CA006859,null,null,null,null,D,0,0,5.0,null,0.1987956464290619,8.536466598510742,0.5197939872741699,0.25990328192710876,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9807,0.0,0.0111,0.0063,0.0017,0.0192,0.0192,0.008,98.4,98.7,99.1,99.2,99.2,99.6,3093.986083984375,'KENDALL CREEK OVERFLOW',null,null,POINT (-121.613881 37.889289)
HighwayBridge,CA006860,null,null,null,null,D,0,0,5.0,null,0.29944267868995667,12.994046211242676,0.7356488108634949,0.3667662739753723,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9326,0.0,0.0337,0.0241,0.0094,0.0673,0.0673,0.0335,94.3,95.3,96.6,96.8,97.0,98.2,165587.171875,'POTRERO AVE & S80 ON RMP',null,null,POINT (-122.317494 37.920642)
HighwayBridge,CA006861,null,null,null,null,D,0,0,5.0,null,0.28632470965385437,10.346205711364746,0.6519268751144409,0.2789539396762848,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9153,0.0,0.0409,0.0307,0.013,0.0846,0.0846,0.0437,92.8,94.0,95.6,95.8,96.1,97.7,40623.37109375,'RODEO CREEK',null,null,POINT (-122.23865 38.014158)
HighwayBridge,CA006862,null,null,null,null,D,0,0,5.0,null,0.28632470965385437,10.346205711364746,0.6519268751144409,0.2789539396762848,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.8991,0.0706,0.0167,0.0103,0.0031,0.1008,0.0302,0.0135,95.7,97.9,98.6,98.7,98.7,99.3,9445.2421875,'RODEO CREEK',null,null,POINT (-122.23845 38.013889)
HighwayBridge,CA006863,null,null,null,null,D,0,0,5.0,null,0.3249405324459076,14.086722373962402,0.800311267375946,0.42130327224731445,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.897,0.0,0.048,0.0376,0.0171,0.1029,0.1029,0.0548,91.2,92.6,94.5,94.8,95.0,97.0,476548.15625,'INTERSTATE 680',null,null,POINT (-122.052953 37.957658)
HighwayBridge,CA006864,null,null,null,null,D,0,0,5.0,null,0.3249405324459076,14.086722373962402,0.800311267375946,0.42130327224731445,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.8,0.0,0.0801,0.0745,0.0452,0.1999,0.1999,0.1197,82.6,85.0,88.1,88.6,89.2,93.2,402774.96875,'WALNUT CREEK',null,null,POINT (-122.051858 37.958678)
HighwayBridge,CA006865,null,null,null,null,D,0,0,5.0,null,0.21277272701263428,8.365218162536621,0.5231019258499146,0.23649340867996216,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9788,0.0126,0.0049,0.003,0.0005,0.0211,0.0084,0.0035,98.9,99.4,99.6,99.6,99.6,99.8,10747.955078125,'E 18TH STREET',null,null,POINT (-121.753903 38.004908)
HighwayBridge,CA006866,null,null,null,null,D,0,0,5.0,null,0.21277272701263428,8.365218162536621,0.5231019258499146,0.23649340867996216,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9788,0.0126,0.0049,0.003,0.0005,0.0211,0.0084,0.0035,98.9,99.4,99.6,99.6,99.6,99.8,8015.423828125,'E 18TH STREET',null,null,POINT (-121.753519 38.004911)
HighwayBridge,CA006867,null,null,null,null,D,0,0,5.0,null,0.32553109526634216,12.258646011352539,0.7515487670898438,0.33662161231040955,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.8322,0.1171,0.0263,0.0178,0.0063,0.1677,0.0506,0.0242,92.8,96.5,97.5,97.7,97.8,98.7,26376.076171875,'MOUNT DIABLO BOULEVARD',null,null,POINT (-122.097431 37.896783)
HighwayBridge,CA006868,null,null,null,null,D,0,0,5.0,null,0.2675885558128357,11.3576021194458,0.6570038199424744,0.31031322479248047,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.962,0.0,0.0205,0.0131,0.0043,0.0379,0.0379,0.0174,96.8,97.4,98.2,98.3,98.4,99.1,33711.0078125,'BNSF RY & GARRARD BLVD',null,null,POINT (-122.381161 37.92725)
HighwayBridge,CA006869,null,null,null,null,D,0,0,5.0,null,0.2675885558128357,11.3576021194458,0.6570038199424744,0.31031322479248047,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9592,0.0,0.0218,0.0141,0.0047,0.0407,0.0407,0.0189,96.6,97.2,98.0,98.2,98.3,99.0,67004.7890625,'BNSF RY & GARRARD BLVD',null,null,POINT (-122.381306 37.927183)
HighwayBridge,CA006870,null,null,null,null,D,0,0,5.0,null,0.2675885558128357,11.3576021194458,0.6570038199424744,0.31031322479248047,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9599,0.0,0.0215,0.0139,0.0046,0.04,0.04,0.0185,96.6,97.2,98.1,98.2,98.3,99.0,126760.90625,'BNSF RY & GARRARD BLVD',null,null,POINT (-122.380953 37.927475)
HighwayBridge,CA006871,null,null,null,null,D,0,0,5.0,null,0.2675885558128357,11.3576021194458,0.6570038199424744,0.31031322479248047,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9599,0.0,0.0215,0.0139,0.0046,0.04,0.04,0.0185,96.6,97.2,98.1,98.2,98.3,99.0,133021.03125,'BNSF RY & GARRARD BLVD',null,null,POINT (-122.3808 37.927658)
HighwayBridge,CA006872,null,null,null,null,D,0,0,5.0,null,0.2675885558128357,11.3576021194458,0.6570038199424744,0.31031322479248047,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9602,0.0,0.0213,0.0138,0.0046,0.0397,0.0397,0.0184,96.6,97.3,98.1,98.2,98.3,99.0,95323.3671875,'BNSF RY & GARRARD BLVD',null,null,POINT (-122.380714 37.927869)
HighwayBridge,CA006873,null,null,null,null,D,0,0,5.0,null,0.3204180598258972,12.237601280212402,0.7436526417732239,0.3358174264431,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.926,0.0109,0.0296,0.0254,0.0078,0.0739,0.063,0.0333,94.3,95.5,96.6,96.8,97.0,98.3,4145.111328125,'SAN RAMON CREEK',null,null,POINT (-121.976989 37.781214)
HighwayBridge,CA006874,null,null,null,null,D,0,0,5.0,null,0.321115106344223,11.395089149475098,0.7213207483291626,0.3060084879398346,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9639,0.0,0.0196,0.0124,0.004,0.036,0.036,0.0164,97.0,97.5,98.3,98.4,98.5,99.1,163778.546875,'RUDGEAR ROAD',null,null,POINT (-122.048786 37.879117)
